Comment,Designator,Footprint,LCSC Part Number
10uF,"C1,C3",C_0805,C15850
0.1uF,"C2,C4,C5",C_0805,C49678
1uF,C6,C_0805,C28323
UCC27324D,IC3,SOIC-8,C46427
0.02 1W,"R11,R13",R_2512,C127705
4.7k,R15,R_0805,C17673
10k,"R1,R2,R3,R4,R5,R6,R7,R8,R12,R14,R16,R17",R_0805,C17414
100ohm,"R9,R10",R_0805,C17414
INA219AxD,"U1,U2",SOIC-8,C138706
MOSFET,"Q1,Q2",TO-252-2,C154314
