Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","FDD8447L-F085","FDD8447LF085",56.362600,32.633920,90.000000,top
"Q2","FDD8447L-F085","FDD8447LF085",56.306720,21.038820,90.000000,top
